Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731039854009,'2024-11-08 15:24:14.009,0,200,-1,-1,-1,-1,0,0,0
'1731039854026,'2024-11-08 15:24:14.026,0,200,-1,-1,-1,-1,0,0,0
'1731039854035,'2024-11-08 15:24:14.035,0,200,-1,-1,-1,-1,0,0,0
'1731039854045,'2024-11-08 15:24:14.045,0,200,-1,-1,-1,-1,0,0,0
'1731039854063,'2024-11-08 15:24:14.063,0,200,-1,-1,-1,-1,0,0,0
'1731039854071,'2024-11-08 15:24:14.071,0,200,-1,-1,-1,-1,0,0,0
'1731039854079,'2024-11-08 15:24:14.079,0,200,-1,-1,-1,-1,0,0,0
'1731039854096,'2024-11-08 15:24:14.096,0,200,-1,-1,-1,-1,0,0,0
'1731039854105,'2024-11-08 15:24:14.105,0,200,-1,-1,-1,-1,0,0,0
'1731039854114,'2024-11-08 15:24:14.114,0,200,-1,-1,-1,-1,0,0,0
'1731039854122,'2024-11-08 15:24:14.122,0,200,-1,-1,-1,-1,0,0,0
'1731039854130,'2024-11-08 15:24:14.130,0,200,-1,-1,-1,-1,0,0,0
'1731039854139,'2024-11-08 15:24:14.139,0,200,-1,-1,-1,-1,0,0,0
'1731039854156,'2024-11-08 15:24:14.156,0,200,-1,-1,-1,-1,0,0,0
'1731039854165,'2024-11-08 15:24:14.165,0,200,-1,-1,-1,-1,0,0,0
'1731039854173,'2024-11-08 15:24:14.173,0,200,-1,-1,-1,-1,0,0,0
'1731039854182,'2024-11-08 15:24:14.182,0,200,-1,-1,-1,-1,0,0,0
'1731039854190,'2024-11-08 15:24:14.190,0,200,-1,-1,-1,-1,0,0,0
'1731039854199,'2024-11-08 15:24:14.199,0,200,-1,-1,-1,-1,0,0,0
'1731039854207,'2024-11-08 15:24:14.207,0,200,-1,-1,-1,-1,0,0,0
